mondo_id,mapping_type,doid_id,mapping_justification,mondo_label,doid_label
MONDO:0000001,skos:exactMatch,DOID:4,semapv:UnspecifiedMatching,disease,disease
MONDO:0000004,skos:exactMatch,DOID:10493,semapv:UnspecifiedMatching,adrenocortical insufficiency,adrenal cortical hypofunction
MONDO:0000009,skos:exactMatch,DOID:2218,semapv:UnspecifiedMatching,"inherited bleeding disorder, platelet-type",blood platelet disease
MONDO:0000023,skos:exactMatch,DOID:0080716,semapv:UnspecifiedMatching,infantile liver failure,infantile liver failure syndrome
MONDO:0000030,skos:exactMatch,DOID:0060681,semapv:UnspecifiedMatching,familial sleep-related hypermotor epilepsy,autosomal dominant nocturnal frontal lobe epilepsy
MONDO:0000032,skos:exactMatch,DOID:0111297,semapv:UnspecifiedMatching,"febrile seizures, familial",familial febrile seizures
MONDO:0000050,skos:exactMatch,DOID:0060870,semapv:UnspecifiedMatching,isolated congenital growth hormone deficiency,isolated growth hormone deficiency
MONDO:0000062,skos:exactMatch,DOID:0080637,semapv:UnspecifiedMatching,isolated microphthalmia,isolated microphthalmia
MONDO:0000079,skos:exactMatch,DOID:0080655,semapv:UnspecifiedMatching,"nephrolithiasis/osteoporosis, hypophosphatemic",hypophosphatemic nephrolithiasis/osteoporosis
MONDO:0000087,skos:exactMatch,DOID:0080918,semapv:UnspecifiedMatching,polymicrogyria,polymicrogyria
MONDO:0000127,skos:exactMatch,DOID:0111724,semapv:UnspecifiedMatching,geleophysic dysplasia,geleophysic dysplasia
MONDO:0000133,skos:exactMatch,DOID:0090007,semapv:UnspecifiedMatching,immunodeficiency-centromeric instability-facial anomalies syndrome,immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000136,skos:exactMatch,DOID:0080753,semapv:UnspecifiedMatching,keratosis follicularis spinulosa decalvans,keratosis follicularis spinulosa decalvans
MONDO:0000141,skos:exactMatch,DOID:0080688,semapv:UnspecifiedMatching,mosaic variegated aneuploidy syndrome,mosaic variegated aneuploidy syndrome
MONDO:0000158,skos:exactMatch,DOID:0060930,semapv:UnspecifiedMatching,developmental dysplasia of the hip,developmental dysplasia of the hip
MONDO:0000160,skos:exactMatch,DOID:0111689,semapv:UnspecifiedMatching,"epilepsy, familial adult myoclonic",familial adult myoclonic epilepsy
MONDO:0000171,skos:exactMatch,DOID:0050560,semapv:UnspecifiedMatching,"muscular dystrophy-dystroglycanopathy, type A",Walker-Warburg syndrome
MONDO:0000172,skos:exactMatch,DOID:0112375,semapv:UnspecifiedMatching,"muscular dystrophy-dystroglycanopathy, type B",muscular dystrophy-dystroglycanopathy type B
MONDO:0000188,skos:exactMatch,DOID:0070560,semapv:UnspecifiedMatching,GLUT1 deficiency syndrome,glucose transporter type 1 deficiency syndrome
MONDO:0000193,skos:exactMatch,DOID:0090139,semapv:UnspecifiedMatching,cortisone reductase deficiency,cortisone reductase deficiency
MONDO:0000213,skos:exactMatch,DOID:0061159,semapv:UnspecifiedMatching,"autoimmune disease, multisystem, infantile-onset",infantile onset multisystem autoimmune disease
MONDO:0000214,skos:exactMatch,DOID:0080535,semapv:UnspecifiedMatching,hypermanganesemia with dystonia,hypermanganesemia with dystonia
MONDO:0000222,skos:exactMatch,DOID:0050004,semapv:UnspecifiedMatching,seminal vesicle acute gonorrhea,seminal vesicle acute gonorrhea
MONDO:0000225,skos:exactMatch,DOID:0050026,semapv:UnspecifiedMatching,human monocytic ehrlichiosis,human monocytic ehrlichiosis
MONDO:0000227,skos:exactMatch,DOID:0050035,semapv:UnspecifiedMatching,African tick-bite fever,African tick-bite fever
MONDO:0000229,skos:exactMatch,DOID:0050042,semapv:UnspecifiedMatching,Indian tick typhus,Indian tick typhus
MONDO:0000230,skos:exactMatch,DOID:0050043,semapv:UnspecifiedMatching,Israeli tick typhus,Israeli tick typhus
MONDO:0000231,skos:exactMatch,DOID:0050046,semapv:UnspecifiedMatching,Far eastern spotted fever,Far Eastern spotted fever
MONDO:0000232,skos:exactMatch,DOID:0050047,semapv:UnspecifiedMatching,Flinders island spotted fever,Flinders Island spotted fever
MONDO:0000233,skos:exactMatch,DOID:0050050,semapv:UnspecifiedMatching,Japanese spotted fever,Japanese spotted fever
MONDO:0000234,skos:exactMatch,DOID:0050051,semapv:UnspecifiedMatching,Rickettsia parkeri spotted fever,Rickettsia parkeri spotted fever
MONDO:0000236,skos:exactMatch,DOID:0050059,semapv:UnspecifiedMatching,oropharyngeal anthrax,oropharyngeal anthrax
MONDO:0000238,skos:exactMatch,DOID:0050068,semapv:UnspecifiedMatching,obsolete pestis minor,obsolete pestis minor
MONDO:0000239,skos:exactMatch,DOID:0050072,semapv:UnspecifiedMatching,adiaspiromycosis,adiaspiromycosis
MONDO:0000240,skos:exactMatch,DOID:0050073,semapv:UnspecifiedMatching,invasive aspergillosis,invasive aspergillosis
MONDO:0000241,skos:exactMatch,DOID:0050083,semapv:UnspecifiedMatching,Keshan disease,Keshan disease
MONDO:0000242,skos:exactMatch,DOID:0050096,semapv:UnspecifiedMatching,tinea barbae,tinea barbae
MONDO:0000243,skos:exactMatch,DOID:0050097,semapv:UnspecifiedMatching,ectothrix infectious disease,ectothrix infectious disease
MONDO:0000244,skos:exactMatch,DOID:0050105,semapv:UnspecifiedMatching,endothrix infectious disease,endothrix infectious disease
MONDO:0000245,skos:exactMatch,DOID:0050116,semapv:UnspecifiedMatching,tinea imbricata,tinea imbricata
MONDO:0000248,skos:exactMatch,DOID:0050125,semapv:UnspecifiedMatching,dengue shock syndrome,dengue shock syndrome
MONDO:0000249,skos:exactMatch,DOID:0050129,semapv:UnspecifiedMatching,secretory diarrhea,secretory diarrhea
MONDO:0000250,skos:exactMatch,DOID:0050130,semapv:UnspecifiedMatching,osmotic diarrheal disease,osmotic diarrhea
MONDO:0000252,skos:exactMatch,DOID:0050132,semapv:UnspecifiedMatching,inflammatory diarrhea,inflammatory diarrhea
MONDO:0000254,skos:exactMatch,DOID:0050134,semapv:UnspecifiedMatching,cutaneous mycosis,cutaneous mycosis
MONDO:0000255,skos:exactMatch,DOID:0050135,semapv:UnspecifiedMatching,subcutaneous mycosis,subcutaneous mycosis
MONDO:0000256,skos:exactMatch,DOID:0050136,semapv:UnspecifiedMatching,systemic mycosis,systemic mycosis
MONDO:0000257,skos:exactMatch,DOID:0050140,semapv:UnspecifiedMatching,acute diarrhea,acute diarrhea
MONDO:0000259,skos:exactMatch,DOID:0050143,semapv:UnspecifiedMatching,asymptomatic dengue,asymptomatic dengue
MONDO:0000261,skos:exactMatch,DOID:0050145,semapv:UnspecifiedMatching,adenoiditis,adenoiditis
MONDO:0000262,skos:exactMatch,DOID:0050147,semapv:UnspecifiedMatching,otomycosis,otomycosis
MONDO:0000263,skos:exactMatch,DOID:0050148,semapv:UnspecifiedMatching,laryngotracheitis,laryngotracheitis
MONDO:0000265,skos:exactMatch,DOID:0050152,semapv:UnspecifiedMatching,aspiration pneumonia,aspiration pneumonia
MONDO:0000266,skos:exactMatch,DOID:0050153,semapv:UnspecifiedMatching,pulmonary aspergilloma,pulmonary aspergilloma
MONDO:0000270,skos:exactMatch,DOID:0050161,semapv:UnspecifiedMatching,lower respiratory tract disorder,lower respiratory tract disease
MONDO:0000271,skos:exactMatch,DOID:0050166,semapv:UnspecifiedMatching,tuberculous salpingitis,tuberculous salpingitis
MONDO:0000273,skos:exactMatch,DOID:0050174,semapv:UnspecifiedMatching,Kunjin virus infectous disease,Kunjin encephalitis
MONDO:0000275,skos:exactMatch,DOID:0050177,semapv:UnspecifiedMatching,obsolete monogenic disease,monogenic disease
MONDO:0000276,skos:exactMatch,DOID:0050179,semapv:UnspecifiedMatching,Powassan encephalitis,Powassan encephalitis
MONDO:0000282,skos:exactMatch,DOID:0050199,semapv:UnspecifiedMatching,Whitewater Arroyo hemorrhagic fever,Whitewater Arroyo hemorrhagic fever
MONDO:0000283,skos:exactMatch,DOID:0050200,semapv:UnspecifiedMatching,"Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type",Korean hemorrhagic fever
MONDO:0000284,skos:exactMatch,DOID:0050201,semapv:UnspecifiedMatching,"Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type",nephropathia epidemica
MONDO:0000286,skos:exactMatch,DOID:0050204,semapv:UnspecifiedMatching,Epstein-Barr virus hepatitis,Epstein-Barr virus hepatitis
MONDO:0000288,skos:exactMatch,DOID:0050218,semapv:UnspecifiedMatching,polycystic echinococcosis,polycystic echinococcosis
MONDO:0000290,skos:exactMatch,DOID:0050242,semapv:UnspecifiedMatching,primary amebic meningoencephalitis,primary amebic meningoencephalitis
MONDO:0000291,skos:exactMatch,DOID:0050246,semapv:UnspecifiedMatching,granulomatous amebic encephalitis,granulomatous amebic encephalitis
MONDO:0000292,skos:exactMatch,DOID:0050250,semapv:UnspecifiedMatching,philophthalmiasis,philophthalmiasis
MONDO:0000293,skos:exactMatch,DOID:0050251,semapv:UnspecifiedMatching,coenurosis,coenurosis
MONDO:0000294,skos:exactMatch,DOID:0050253,semapv:UnspecifiedMatching,mesocestoidiasis,mesocestoidiasis
MONDO:0000295,skos:exactMatch,DOID:0050254,semapv:UnspecifiedMatching,acanthocephaliasis,acanthocephaliasis
MONDO:0000297,skos:exactMatch,DOID:0050259,semapv:UnspecifiedMatching,baylisascariasis,baylisascariasis
MONDO:0000298,skos:exactMatch,DOID:0050260,semapv:UnspecifiedMatching,dioctophymiasis,dioctophymiasis
MONDO:0000299,skos:exactMatch,DOID:0050261,semapv:UnspecifiedMatching,thelaziasis,thelaziasis
MONDO:0000301,skos:exactMatch,DOID:0050268,semapv:UnspecifiedMatching,ophthalmomyiasis,ophthalmomyiasis
MONDO:0000302,skos:exactMatch,DOID:0050278,semapv:UnspecifiedMatching,basidiobolomycosis,basidiobolomycosis
MONDO:0000303,skos:exactMatch,DOID:0050279,semapv:UnspecifiedMatching,conidiobolomycosis,conidiobolomycosis
MONDO:0000304,skos:exactMatch,DOID:0050288,semapv:UnspecifiedMatching,penicilliosis,penicilliosis
MONDO:0000306,skos:exactMatch,DOID:0050290,semapv:UnspecifiedMatching,trichosporonosis,trichosporonosis
MONDO:0000307,skos:exactMatch,DOID:0050291,semapv:UnspecifiedMatching,parasitic Ichthyosporea infectious disease,parasitic Ichthyosporea infectious disease
MONDO:0000308,skos:exactMatch,DOID:0050292,semapv:UnspecifiedMatching,primary systemic mycosis,primary systemic mycosis
MONDO:0000309,skos:exactMatch,DOID:0050304,semapv:UnspecifiedMatching,aniseikonia,aniseikonia
MONDO:0000310,skos:exactMatch,DOID:0050308,semapv:UnspecifiedMatching,Alkhurma hemorrhagic fever,Alkhumra hemorrhagic fever
MONDO:0000313,skos:exactMatch,DOID:0050336,semapv:UnspecifiedMatching,hypophosphatemia,hypophosphatemia
MONDO:0000314,skos:exactMatch,DOID:0050338,semapv:UnspecifiedMatching,primary bacterial infectious disease,primary bacterial infectious disease
MONDO:0000315,skos:exactMatch,DOID:0050339,semapv:UnspecifiedMatching,commensal bacterial infectious disease,commensal bacterial infectious disease
MONDO:0000316,skos:exactMatch,DOID:0050340,semapv:UnspecifiedMatching,opportunistic bacterial infectious disease,opportunistic bacterial infectious disease
MONDO:0000320,skos:exactMatch,DOID:0050382,semapv:UnspecifiedMatching,glandular tularemia,glandular tularemia
MONDO:0000321,skos:exactMatch,DOID:0050383,semapv:UnspecifiedMatching,typhoidal tularemia,typhoidal tularemia
MONDO:0000327,skos:exactMatch,DOID:0050456,semapv:UnspecifiedMatching,Buruli ulcer disease,Buruli ulcer disease
MONDO:0000328,skos:exactMatch,DOID:0050459,semapv:UnspecifiedMatching,hyperphosphatemia,hyperphosphatemia
MONDO:0000330,skos:exactMatch,DOID:0050481,semapv:UnspecifiedMatching,endemic typhus,endemic typhus
MONDO:0000331,skos:exactMatch,DOID:0050484,semapv:UnspecifiedMatching,Rickettsia helvetica spotted fever,aneruptive fever
MONDO:0000332,skos:exactMatch,DOID:0050485,semapv:UnspecifiedMatching,sennetsu fever,sennetsu fever
MONDO:0000333,skos:exactMatch,DOID:0050488,semapv:UnspecifiedMatching,early congenital syphilis,early congenital syphilis
MONDO:0000334,skos:exactMatch,DOID:0050489,semapv:UnspecifiedMatching,multinodular goiter,multinodular goiter
MONDO:0000335,skos:exactMatch,DOID:0050490,semapv:UnspecifiedMatching,parenchymatous neurosyphilis,parenchymatous neurosyphilis
MONDO:0000336,skos:exactMatch,DOID:0050491,semapv:UnspecifiedMatching,meningovascular neurosyphilis,meningovascular neurosyphilis
MONDO:0000337,skos:exactMatch,DOID:0050495,semapv:UnspecifiedMatching,exanthema subitum,exanthema subitum
MONDO:0000338,skos:exactMatch,DOID:0050508,semapv:UnspecifiedMatching,variola major infectious disease,variola major
MONDO:0000339,skos:exactMatch,DOID:0050513,semapv:UnspecifiedMatching,spinal polio,spinal polio
MONDO:0000340,skos:exactMatch,DOID:0050514,semapv:UnspecifiedMatching,bulbospinal polio,bulbospinal polio
MONDO:0000341,skos:exactMatch,DOID:0050515,semapv:UnspecifiedMatching,paralytic poliomyelitis,paralytic poliomyelitis
MONDO:0000342,skos:exactMatch,DOID:0050516,semapv:UnspecifiedMatching,O'nyong'nyong fever,O'nyong-nyong fever
MONDO:0000343,skos:exactMatch,DOID:0050517,semapv:UnspecifiedMatching,Barmah forest virus disease,Barmah Forest virus disease
MONDO:0000344,skos:exactMatch,DOID:0050518,semapv:UnspecifiedMatching,Ross river fever,Ross River fever
MONDO:0000345,skos:exactMatch,DOID:0050521,semapv:UnspecifiedMatching,Oropouche fever,Oropouche fever
MONDO:0000346,skos:exactMatch,DOID:0050522,semapv:UnspecifiedMatching,"Hantavirus hemorrhagic fever with renal syndrome, Dobrava-Belgrade virus type",Balkan hemorrhagic fever
MONDO:0000348,skos:exactMatch,DOID:0050537,semapv:UnspecifiedMatching,obsolete posterior polar cataract,posterior polar cataract
MONDO:0000351,skos:exactMatch,DOID:0050544,semapv:UnspecifiedMatching,disorder of methionine catabolism,hypermethioninemia
MONDO:0000355,skos:exactMatch,DOID:0050558,semapv:UnspecifiedMatching,Ullrich congenital muscular dystrophy,Ullrich congenital muscular dystrophy
MONDO:0000358,skos:exactMatch,DOID:0050567,semapv:UnspecifiedMatching,orofacial cleft,orofacial cleft
MONDO:0000359,skos:exactMatch,DOID:0050568,semapv:UnspecifiedMatching,spondylocostal dysostosis,spondylocostal dysostosis
MONDO:0000363,skos:exactMatch,DOID:0050584,semapv:UnspecifiedMatching,gummatous syphilis,gummatous syphilis
MONDO:0000365,skos:exactMatch,DOID:0050593,semapv:UnspecifiedMatching,primary congenital glaucoma,primary congenital glaucoma
MONDO:0000367,skos:exactMatch,DOID:0050596,semapv:UnspecifiedMatching,taeniasis,taeniasis
MONDO:0000368,skos:exactMatch,DOID:0050598,semapv:UnspecifiedMatching,extrapulmonary tuberculosis,extrapulmonary tuberculosis
MONDO:0000369,skos:exactMatch,DOID:0050599,semapv:UnspecifiedMatching,abdominal tuberculosis,abdominal tuberculosis
MONDO:0000371,skos:exactMatch,DOID:0050610,semapv:UnspecifiedMatching,oral cavity carcinoma in situ,oral cavity carcinoma in situ
MONDO:0000372,skos:exactMatch,DOID:0050611,semapv:UnspecifiedMatching,pharynx carcinoma in situ,pharynx carcinoma in situ
MONDO:0000373,skos:exactMatch,DOID:0050612,semapv:UnspecifiedMatching,gall bladder carcinoma in situ,gallbladder carcinoma in situ
MONDO:0000374,skos:exactMatch,DOID:0050613,semapv:UnspecifiedMatching,bile duct carcinoma in situ,bile duct carcinoma in situ
MONDO:0000375,skos:exactMatch,DOID:0050614,semapv:UnspecifiedMatching,bronchus carcinoma in situ,bronchus carcinoma in situ
MONDO:0000376,skos:exactMatch,DOID:0050615,semapv:UnspecifiedMatching,respiratory system cancer,respiratory system cancer
MONDO:0000380,skos:exactMatch,DOID:0050619,semapv:UnspecifiedMatching,paranasal sinus carcinoma,paranasal sinus cancer
MONDO:0000381,skos:exactMatch,DOID:0050620,semapv:UnspecifiedMatching,infiltrating renal pelvis transitional cell carcinoma,infiltrating renal pelvis transitional cell carcinoma
MONDO:0000382,skos:exactMatch,DOID:0050621,semapv:UnspecifiedMatching,respiratory system benign neoplasm,respiratory system benign neoplasm
MONDO:0000383,skos:exactMatch,DOID:0050622,semapv:UnspecifiedMatching,benign reproductive system neoplasm,reproductive organ benign neoplasm
MONDO:0000384,skos:exactMatch,DOID:0050623,semapv:UnspecifiedMatching,bladder benign neoplasm,bladder benign neoplasm
MONDO:0000385,skos:exactMatch,DOID:0050624,semapv:UnspecifiedMatching,benign digestive system neoplasm,gastrointestinal system benign neoplasm
MONDO:0000386,skos:exactMatch,DOID:0050626,semapv:UnspecifiedMatching,"digestive system neuroendocrine tumor, grade 1/2",gastrointestinal neuroendocrine tumor
MONDO:0000387,skos:exactMatch,DOID:0050642,semapv:UnspecifiedMatching,hypochromic microcytic anemia,hypochromic microcytic anemia
MONDO:0000389,skos:exactMatch,DOID:0050648,semapv:UnspecifiedMatching,atelosteogenesis,atelosteogenesis
MONDO:0000390,skos:exactMatch,DOID:0050661,semapv:UnspecifiedMatching,vitelliform macular dystrophy,vitelliform macular dystrophy
MONDO:0000393,skos:exactMatch,DOID:0050666,semapv:UnspecifiedMatching,partial fetal alcohol syndrome,partial fetal alcohol syndrome
MONDO:0000395,skos:exactMatch,DOID:0050668,semapv:UnspecifiedMatching,alcohol-related birth defect,alcohol-related birth defects
MONDO:0000396,skos:exactMatch,DOID:0050669,semapv:UnspecifiedMatching,spastic cerebral palsy,spastic cerebral palsy
MONDO:0000397,skos:exactMatch,DOID:0050670,semapv:UnspecifiedMatching,ataxic cerebral palsy,ataxic cerebral palsy
MONDO:0000400,skos:exactMatch,DOID:0050673,semapv:UnspecifiedMatching,mixed cerebral palsy,mixed cerebral palsy
MONDO:0000402,skos:exactMatch,DOID:0050685,semapv:UnspecifiedMatching,small cell carcinoma,small cell carcinoma
MONDO:0000405,skos:exactMatch,DOID:0050688,semapv:UnspecifiedMatching,anal canal cancer,anal canal cancer
MONDO:0000407,skos:exactMatch,DOID:0050695,semapv:UnspecifiedMatching,malignant pleural solitary fibrous tumor,malignant pleural solitary fibrous tumor
MONDO:0000408,skos:exactMatch,DOID:0050696,semapv:UnspecifiedMatching,fetal alcohol spectrum disorder,fetal alcohol spectrum disorder
MONDO:0000409,skos:exactMatch,DOID:0050697,semapv:UnspecifiedMatching,chorioamnionitis,chorioamnionitis
MONDO:0000410,skos:exactMatch,DOID:0050698,semapv:UnspecifiedMatching,funisitis,funisitis
MONDO:0000411,skos:exactMatch,DOID:0050701,semapv:UnspecifiedMatching,obsolete electroclinical syndrome,electroclinical syndrome
MONDO:0000412,skos:exactMatch,DOID:0050702,semapv:UnspecifiedMatching,obsolete neonatal period electroclinical syndrome,neonatal period electroclinical syndrome
MONDO:0000413,skos:exactMatch,DOID:0050703,semapv:UnspecifiedMatching,obsolete infancy electroclinical syndrome,infancy electroclinical syndrome
MONDO:0000414,skos:exactMatch,DOID:0050704,semapv:UnspecifiedMatching,obsolete childhood electroclinical syndrome,childhood electroclinical syndrome
MONDO:0000415,skos:exactMatch,DOID:0050705,semapv:UnspecifiedMatching,adolescence-adult electroclinical syndrome,adolescence-adult electroclinical syndrome
MONDO:0000421,skos:exactMatch,DOID:0050721,semapv:UnspecifiedMatching,inborn serine deficiency,serine deficiency
MONDO:0000425,skos:exactMatch,DOID:0050735,semapv:UnspecifiedMatching,X-linked disease,X-linked monogenic disease
MONDO:0000426,skos:exactMatch,DOID:0050736,semapv:UnspecifiedMatching,autosomal dominant disease,autosomal dominant disease
MONDO:0000428,skos:exactMatch,DOID:0050738,semapv:UnspecifiedMatching,Y-linked disease,Y-linked monogenic disease
MONDO:0000429,skos:exactMatch,DOID:0050739,semapv:UnspecifiedMatching,autosomal genetic disease,autosomal genetic disease
MONDO:0000430,skos:exactMatch,DOID:0050743,semapv:UnspecifiedMatching,mature T-cell and NK-cell non-Hodgkin lymphoma,mature T-cell and NK-cell lymphoma
MONDO:0000430,skos:exactMatch,DOID:0050749,semapv:UnspecifiedMatching,mature T-cell and NK-cell non-Hodgkin lymphoma,peripheral T-cell lymphoma
MONDO:0000437,skos:exactMatch,DOID:0050753,semapv:UnspecifiedMatching,cerebellar ataxia,cerebellar ataxia
