property,type,required?,description,example
identifier,string,yes,unique identifier for the action or intervention,ExMCaction:0
name,string,yes,humean-readable name of action,Anal speculum
is_action,booolean,no,Indicates whether the node represents an executable action,true
general_monitor,boolean,no,Indicates whether the action involves general patient monitoring or routine observation of the patient’s condition,false
early_action,boolean,no,Indicates whether the action should be performed early in the clinical workflow,false
action_priority,integer,no,Priority level (a number) assigned to the action,19
output_params,list<integer> or list<float> or list<string>,no,List of parameter identifiers or values associaed with the action output,["Normal", "Abnormal"]
is_category,boolean,no,Indicates whether the node represents an action category rather than a specific action,false
is_monitoring,boolean,no,Indicates whether the acion is intended for patient monitoring,true
output_type,string,no,Specifies the type of output generated by the action,numeric
duration,integer,no,Recommended duration of the action or monitoring period,30
normal_range,list<integer> or list<float>,no,expected normal range for monitored values,"[60,100]"
output_format,string or list<string>,no,Format in which the action output should be presented,"['heart_rate', 'blood_pressure']"
phrase,string,no,Clinical instruction or phrase presented to the user,Use an Anal speculum to examine crew member.
