property,type,required?,description,example
identifier,string,yes,Unique identifier for the medical kit item,ExMCmedkit:4
name,string,yes,Human-readable name of the medical resource or tool,Dental Adhesive
location,list<string>,no,List of locations where the medical kit item is stored,"[""B3""]"
qty_in_pack,list<string>,no,List describing the quantity of the item included in each package or kit,"[""1""]"
route_of_use,list<string>,no,List of routes or methods by which the medical kit item is used or administered,"[""Topical""]"
side_effects,string,no,Known or possible side effects associated with use of the medical kit item,Skin irritation or allergic reaction
strength_volume,list<string>,no,"List describing the strength, concentration, dose amount, or volume of the medical kit item","[""2 %"", ""30 mL""]"
unit,list<string>,no,"List of measurement units associated with the item quantity, strength, or volume","[""tube""]"
comments,string,no,"Additional notes, instructions, limitations, or context for using the medical kit item",For temporary dental repair use only
is_action,boolean,no,Indicates whether the medical kit item also represents an executable clinical action,false
action_priority,integer,no,Priority level assigned when the medical kit item is used as or linked to a clinical action,10
is_category,boolean,no,Indicates whether the node represents a broader medical kit category rather than a specific item,false
